
-0.494, 5.451, 0.446, 0.647, 1.478, 1.484, 1.679, 1.523, 1.709, 1.616, 
12.818, 19.585, 77.858, 90.034, 90.055, 90.118, 89.980, 90.139, 89.941, 90.040, 
8.042, 10.839, 24.106, 39.611, 64.893, 74.697, 75.938, 83.758, 83.198, 76.545, 
13.184, 19.875, 20.055, 52.396, 81.956, 78.542, 81.360, 69.711, 91.275, 91.215, 
14.356, 37.691, 36.855, 60.570, 85.393, 69.658, 77.142, 71.870, 82.262, 86.187, 
6.799, 8.730, 39.920, 16.614, 25.183, 37.154, 41.769, 80.384, 84.909, 90.079, 
14.539, 34.344, 62.638, 71.325, 85.194, 89.959, 80.882, 90.118, 89.935, 90.010, 
0.722, 7.452, 1.499, 9.705, 33.699, 73.680, 78.269, 87.365, 82.841, 83.515, 
11.949, 30.209, 29.204, 48.804, 86.434, 82.558, 82.432, 79.076, 86.727, 86.693, 
8.957, 42.383, 75.812, 90.279, 70.180, 85.853, 84.095, 91.177, 91.372, 91.266, 
