
89.931, 87.727, 90.337, 90.337, 90.337, 90.543, 92.396, 90.137, 92.719, 92.583, 
86.618, 91.772, 91.772, 88.937, 90.989, 92.519, 92.531, 92.583, 92.637, 92.637, 
92.172, 87.258, 90.337, 90.537, 88.418, 88.818, 88.818, 89.719, 90.319, 88.613, 
88.596, 91.772, 92.537, 92.506, 92.527, 90.337, 89.937, 89.937, 90.337, 90.337, 
88.416, 87.727, 87.727, 91.570, 92.576, 92.576, 92.583, 92.583, 92.583, 92.583, 
91.772, 91.772, 91.772, 91.772, 91.772, 91.772, 91.772, 91.772, 91.772, 91.772, 
87.727, 85.624, 92.527, 91.772, 92.927, 92.527, 92.927, 92.576, 92.576, 92.576, 
91.772, 91.772, 91.937, 92.927, 91.772, 91.937, 91.772, 91.772, 92.527, 92.127, 
88.424, 87.727, 89.737, 92.570, 92.525, 92.570, 89.603, 92.576, 92.576, 92.583, 
39.455, 87.727, 88.494, 91.210, 88.470, 88.488, 88.470, 91.210, 91.210, 91.210, 
